Salary,EngagementSurvey,EmpSatisfaction,Absences,WorkHoursPerWeek,StressLevelScore,SkillsAssessmentScore,ProjectsAssigned,Actual_Keep,Predicted_Keep,EmpID,AI_Explanation
87459.23999999999,3.84,1.2,18,54.0,5.79,93.35,11.0,1,1,38402,Profil stable.
43985.78,3.17,4.26,10,54.0,8.78,66.76,17.0,1,1,9585,Profil stable.
121883.55,3.93,1.51,4,38.0,9.46,51.02,6.0,0,0,50210,"The employee's performance ratings in Marketing and Lobbying suggest that their work is inconsistent and variable, which may pose a risk to the company's overall revenue and brand image. The employee's stress level is also high, indicating that they may struggle to maintain a work-life balance. This employee's low engagement score also suggests that their work experience may not be as valuable as their co-workers'. Overall, the employee's professional standing and metrics suggest that they are a high risk to the company, and their retention priority is a significant consideration for their potential exit."
60325.12,3.53,1.36,10,58.0,3.91,72.53,11.0,0,1,24315,Profil stable.
51873.549999999996,3.0,4.63,4,36.0,6.77,59.32,6.0,1,1,6735,Profil stable.
44347.76,2.38,2.52,8,38.0,3.96,66.91,20.0,1,1,29742,Profil stable.
79725.76999999999,1.03,3.97,0,50.0,3.52,63.63,6.0,1,0,1342,"Based on the employee's professional standing, employee engagement, and work conditions, the employee's performance and ability to meet the company's retention priorities are all considered lower than average, which suggests a high risk of resignation. The company's decision to prioritize retention based on performance and engagement suggests that the employee does not meet the company's expectations for job performance, which increases the risk of resignation."
54676.0,2.49,2.85,16,60.0,5.57,51.09,14.0,1,0,19735,"This employee's retention risk is low as their performance and engagement metrics are rated as 'Exceeds' and they have a high satisfaction level and engagement score. However, their stress level is moderate, which may indicate a high potential for a high-turnover experience in their current role. Overall, they have a stable professional standing, and their company decision to prioritize retention may indicate a high likelihood of remaining with the company."
96940.72,3.79,3.71,1,56.0,2.95,86.42,12.0,1,1,30000,Profil stable.
51606.46,2.86,3.22,20,56.0,4.63,57.32,2.0,0,0,1126,Profil stable.
104010.69,3.34,2.71,15,33.0,8.22,64.99,9.0,0,0,10549,Profil stable.
91024.68000000001,3.6,1.04,8,53.0,6.67,69.9,10.0,1,0,48161,Profil stable.
71272.41,1.91,4.1,7,46.0,1.87,59.14,18.0,0,1,36499,Profil stable.
130911.73,2.14,3.94,2,33.0,8.68,92.91,3.0,1,1,41569,Profil stable.
96141.63,2.73,4.27,8,45.0,1.91,88.17,8.0,1,1,36944,Profil stable.
64637.939999999995,1.78,1.35,0,32.0,3.57,94.72,5.0,1,0,6402,Profil stable.
87171.62,1.06,3.62,8,35.0,9.15,90.74,16.0,0,1,14264,Profil stable.
33497.19,1.28,3.43,19,33.0,5.94,50.2,3.0,0,0,32811,Profil stable.
79900.04,2.29,1.88,1,31.0,3.31,80.6,0.0,1,0,39107,Profil stable.
71976.24,4.83,3.43,5,31.0,6.58,51.31,13.0,1,1,17711,Profil stable.
